onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
29.082	n/a	14541	surroundSuppB1_start	93	n/a	n/a	n/a
30.624	n/a	15312	fixpoint_ON	4	n/a	n/a	n/a
31.142	2.4	15571	stim_ON	8	1	0	2
34.06	n/a	17030	fixpoint_ON	4	n/a	n/a	n/a
34.57	2.4	17285	stim_ON	8	1	0.3	3
37.48	n/a	18740	fixpoint_ON	4	n/a	n/a	n/a
37.99	2.4	18995	stim_ON	8	1	0.6	1
40.9	n/a	20450	fixpoint_ON	4	n/a	n/a	n/a
41.41	2.4	20705	stim_ON	8	1	1	2
44.32	n/a	22160	fixpoint_ON	4	n/a	n/a	n/a
44.83	2.4	22415	stim_ON	8	1	0	3
47.74	n/a	23870	fixpoint_ON	4	n/a	n/a	n/a
48.25	2.4	24125	stim_ON	8	1	0.3	2
51.16	n/a	25580	fixpoint_ON	4	n/a	n/a	n/a
51.67	2.4	25835	stim_ON	8	1	0.6	1
54.58	n/a	27290	fixpoint_ON	4	n/a	n/a	n/a
55.09	2.4	27545	stim_ON	8	1	1	3
58	n/a	29000	fixpoint_ON	4	n/a	n/a	n/a
58.51	2.4	29255	stim_ON	8	1	0	2
61.42	n/a	30710	fixpoint_ON	4	n/a	n/a	n/a
61.93	2.4	30965	stim_ON	8	1	0.3	3
64.84	n/a	32420	fixpoint_ON	4	n/a	n/a	n/a
65.35	2.4	32675	stim_ON	8	1	0.6	1
68.26	n/a	34130	fixpoint_ON	4	n/a	n/a	n/a
68.772	2.4	34386	stim_ON	8	1	1	2
71.682	n/a	35841	fixpoint_ON	4	n/a	n/a	n/a
72.192	2.4	36096	stim_ON	8	0	0	3
75.102	n/a	37551	fixpoint_ON	4	n/a	n/a	n/a
75.612	2.4	37806	stim_ON	8	0	0.3	1
78.522	n/a	39261	fixpoint_ON	4	n/a	n/a	n/a
79.032	2.4	39516	stim_ON	8	0	0.6	2
